Index,mouse_sample,G-CSF,Eotaxin,GM-CSF,INFg,IL-1a,IL-1b,IL-2,IL-4,IL-3,IL-5,IL-6,IL-7,IL-9,IL-10,IL-12p40,IL-12p70,LIF,IL-13,LIX,IL-15,IL-17,IP-10,KC,MCP-1,MIP-1a,MIP-1b,M-CSF,MIP2,MIG,RANTES,VEGF,TNFa
,3-7L,755,12066.5,116,112296,184.5,84,115,299.5,126,238,2856,72,449,176,187,56.5,936.5,225,255,75,138.5,33816,324,1054,468,1132,78,58.5,23963,5811.5,278,137
,3-7L,844.5,15038,62,115141,202,82.5,102,364,123,473,4516,84,496,194,237,52,1160,219,238,96,202,34221,385,1203,820.5,972,102.5,87,24032.5,5451.5,316,138.5
,3-7T,621.5,15931,45.5,853.5,99,70,95,98,63,174,1091,58,101,123,127,44,542.5,68.5,102,77.5,75.5,35204,216,1155,174.5,819,105,1043,13997,2630.5,5412,85
,3-7T,675,16835,47,192,93,59.5,98,58,75,81,729,31,73,77,114,41,99,71,108.5,30,65.5,35331.5,192,599,75.5,794.5,89.5,994,14185,251,186,69
,3-8L,2258,16832,47.5,117385,193,77,149.5,663,83,2560,3314,91,173.5,218,101.5,57.5,1264,214,158,90,128,17615,397,1046,354.5,1026.5,81.5,78,20817,4543.5,274.5,116
,3-8L,2302,17811,70,123745.5,234,38,64,831.5,111,2296.5,3838,117.5,166,244,138,33,1370,257,209,72.5,131,20852,442,1157,458.5,1230,96,64.5,23870,4925,198,134
,3-8T,2899,17320,60,6912,167,96,325,92.5,89,255.5,4443.5,72,75.5,91,142,49.5,861.5,98.5,243,92,69,48977.5,727,2498,676,839.5,326.5,31248.5,16183,2414,11352,115.5
,3-8T,2200,15720,74,5520.5,151.5,98,302.5,155,81,379,4558,65.5,85,148,136,18,667,119,341,86.5,84.5,52135,848,3156,701.5,876,254,29548.5,22216,2290,10767,88
,3-9L,625,1666.5,42,9080,69,37.5,33,96,38,214,687,40,53.5,39,78.5,37,110,62,75,38.5,37,2165,79.5,250,72,88.5,48.5,30,2384,686,67,33
,3-9L,4158,17412,76.5,144678,338,51,139,373,82,753,4002,98,133.5,310,191,49,849,177.5,180,77,134,14536.5,487,1670,834.5,1128.5,78,85,21916,6176,259,137
,3-9T,437,17093,44,620,96,67,112,169,63.5,460.5,313,79,109,143,111,39,427,79.5,133,68,94.5,38396,196,994,139.5,653,77,81,17062,2772,2733,74.5
,3-9T,333,15220.5,34,506.5,130.5,40,124,109,49,384,273,56.5,84.5,111,103,46,383.5,87.5,90.5,64,65,33145,149,966,93,730,84,107.5,15715,2073,2184.5,67
,4-1L,374.5,2215,114,96486.5,175,78.5,84,272,144.5,82,4956,100,377,233,164,69.5,601,354,155,81,268,23014,373.5,929.5,718,961,101.5,44,20007,6196,199,226
,4-1L,427,2717,124,92798,264,83.5,166,280,183.5,106,5756,104,445,214,226,114,655,364,247,111.5,289,25235,408,900,1003.5,941,107,81,19672.5,6247,219,259
,4-1T,769.5,11944,55,946,106,67,95,81.5,64,72,1534.5,75,74.5,119,117,57,554,107,97,76,104,43877.5,266,1327,351.5,732.5,135.5,539,13102,1332.5,3037,116.5
,4-1T,684,11477.5,18,1126,92,68,91,99,71,86,1621,87,61,98.5,84.5,56,584.5,94,100,80,78.5,45843.5,287,1431,323,739,122.5,667.5,11841.5,1389,2213.5,92
,4-2L,384,2250.5,53,110931,172,69,101,231.5,98,71,4756,83,200,155.5,159,51,578,239,133.5,88,133.5,23338,283,928.5,801.5,969.5,77,52.5,17741,6226,133,242
,4-2L,406.5,2731,62,107046,154,79.5,118,236,89,85,4661,92.5,237,168,189,51,583,208,138,73.5,139.5,20690,242,866,779,1161,81,82,17594,6574.5,152.5,260
,4-2T,555,14151,45,2441.5,141,78,75,101,69.5,106,683,71,120,148,119.5,36,479,81,118,57.5,82,46387.5,269,1570,330,798,93.5,511.5,13883,1687,6646.5,99
,4-2T,541,12632,35,2254,158,57,82,110,121,87,654,76.5,133,88,126,45,474,112,72.5,90,91,44953,260,1640,319.5,686,118,442,14210,1343.5,7213.5,72
,4-3L,452.5,3346,49.5,139196,194,77.5,79,131,92,59,2650,74,120,136,140.5,32,349.5,127,141,65.5,93,20597,179,595.5,658,1133,69.5,54,18167,6409,118,142
,4-3L,546,4115,53,138965,231,98.5,88,164,91,73.5,3323.5,74,133,139,168,48,456,151,147,80,104,21615,227,647.5,786,1018,50,64,18666,6308,190,192
,4-3T,404.5,16663.5,60,1385,124,74,114.5,162,82,409,1160.5,76,94.5,134,127.5,49.5,407.5,90,122,82,105,37204.5,276.5,1833,307,811,117,3151,17351.5,1071,18511,63
,4-3T,479.5,18689,52,1501,111,63.5,105.5,145.5,75,486,1232,91,90.5,115,149,44,464.5,92,136,103,91,38558,312,2043,305,734,134.5,3711,17055,1375,17353.5,83
,4-4L,3480.5,4639,64.5,34348,175,86,134,290,97.5,56.5,1735,74.5,111,156.5,161.5,68,380,185,143,98.5,96,17174.5,276.5,365,323,980,84,66,17481,4913,218,105
,4-4L,3276,2420.5,53.5,29271,125.5,54,134,261,86,52.5,1629,94,125,155,142.5,34,248,128,136,77.5,101,16850,231.5,453.5,301.5,891.5,70,55.5,17208,3769,162,78
,4-4T,412.5,8330.5,38.5,550,89.5,81,90,102.5,78,41.5,900.5,68,75.5,128,123,45,512,98,120,92,88,30624,186,688,159,736,130,153,6849,964,10538,83
